"","code","date","value","uname","tcode"
"404","JPM366_EMBI366",1995-12-07,1030,"",NA
"405","JPM366_EMBI366",1995-12-08,1023,"",NA
"406","JPM366_EMBI366",1995-12-11,1023,"",NA
"407","JPM366_EMBI366",1995-12-12,1003,"",NA
"408","JPM366_EMBI366",1995-12-13,1014,"",NA
"409","JPM366_EMBI366",1995-12-14,1034,"",NA
"410","JPM366_EMBI366",1995-12-15,1036,"",NA
"411","JPM366_EMBI366",1995-12-18,1047,"",NA
"412","JPM366_EMBI366",1995-12-19,1018,"",NA
"413","JPM366_EMBI366",1995-12-20,996,"",NA
"414","JPM366_EMBI366",1995-12-21,993,"",NA
"415","JPM366_EMBI366",1995-12-22,969,"",NA
"416","JPM366_EMBI366",1995-12-26,940,"",NA
"417","JPM366_EMBI366",1995-12-27,948,"",NA
"418","JPM366_EMBI366",1995-12-28,950,"",NA
"419","JPM366_EMBI366",1995-12-29,933,"",NA
"420","JPM366_EMBI366",1996-01-02,910,"",NA
"421","JPM366_EMBI366",1996-01-03,879,"",NA
"422","JPM366_EMBI366",1996-01-04,900,"",NA
"423","JPM366_EMBI366",1996-01-05,906,"",NA
"424","JPM366_EMBI366",1996-01-08,875,"",NA
"425","JPM366_EMBI366",1996-01-09,875,"",NA
"426","JPM366_EMBI366",1996-01-10,880,"",NA
"427","JPM366_EMBI366",1996-01-11,857,"",NA
"428","JPM366_EMBI366",1996-01-12,823,"",NA
"429","JPM366_EMBI366",1996-01-16,808,"",NA
"430","JPM366_EMBI366",1996-01-17,809,"",NA
"431","JPM366_EMBI366",1996-01-18,816,"",NA
"432","JPM366_EMBI366",1996-01-19,815,"",NA
"433","JPM366_EMBI366",1996-01-22,809,"",NA
"434","JPM366_EMBI366",1996-01-23,791,"",NA
"435","JPM366_EMBI366",1996-01-24,801,"",NA
"436","JPM366_EMBI366",1996-01-25,790,"",NA
"437","JPM366_EMBI366",1996-01-26,798,"",NA
"438","JPM366_EMBI366",1996-01-29,781,"",NA
"439","JPM366_EMBI366",1996-01-30,757,"",NA
"440","JPM366_EMBI366",1996-01-31,760,"",NA
"441","JPM366_EMBI366",1996-02-01,762,"",NA
"442","JPM366_EMBI366",1996-02-02,748,"",NA
"443","JPM366_EMBI366",1996-02-05,747,"",NA
"444","JPM366_EMBI366",1996-02-06,740,"",NA
"445","JPM366_EMBI366",1996-02-07,739,"",NA
"446","JPM366_EMBI366",1996-02-08,723,"",NA
"447","JPM366_EMBI366",1996-02-09,707,"",NA
"448","JPM366_EMBI366",1996-02-12,702,"",NA
"449","JPM366_EMBI366",1996-02-13,708,"",NA
"450","JPM366_EMBI366",1996-02-14,721,"",NA
"451","JPM366_EMBI366",1996-02-15,726,"",NA
"452","JPM366_EMBI366",1996-02-16,738,"",NA
"453","JPM366_EMBI366",1996-02-20,774,"",NA
"454","JPM366_EMBI366",1996-02-21,785,"",NA
"455","JPM366_EMBI366",1996-02-22,773,"",NA
"456","JPM366_EMBI366",1996-02-23,769,"",NA
"457","JPM366_EMBI366",1996-02-26,786,"",NA
"458","JPM366_EMBI366",1996-02-27,826,"",NA
"459","JPM366_EMBI366",1996-02-28,827,"",NA
"460","JPM366_EMBI366",1996-02-29,863,"",NA
"461","JPM366_EMBI366",1996-03-01,825,"",NA
"462","JPM366_EMBI366",1996-03-04,809,"",NA
"463","JPM366_EMBI366",1996-03-05,821,"",NA
"464","JPM366_EMBI366",1996-03-06,853,"",NA
"465","JPM366_EMBI366",1996-03-07,889,"",NA
"466","JPM366_EMBI366",1996-03-08,933,"",NA
"467","JPM366_EMBI366",1996-03-11,931,"",NA
"468","JPM366_EMBI366",1996-03-12,937,"",NA
"469","JPM366_EMBI366",1996-03-13,917,"",NA
"470","JPM366_EMBI366",1996-03-14,915,"",NA
"471","JPM366_EMBI366",1996-03-15,900,"",NA
"472","JPM366_EMBI366",1996-03-18,867,"",NA
"473","JPM366_EMBI366",1996-03-19,863,"",NA
"474","JPM366_EMBI366",1996-03-20,834,"",NA
"475","JPM366_EMBI366",1996-03-21,825,"",NA
"476","JPM366_EMBI366",1996-03-22,835,"",NA
"477","JPM366_EMBI366",1996-03-25,812,"",NA
"478","JPM366_EMBI366",1996-03-26,819,"",NA
"479","JPM366_EMBI366",1996-03-27,835,"",NA
"480","JPM366_EMBI366",1996-03-28,843,"",NA
"481","JPM366_EMBI366",1996-03-29,840,"",NA
"482","JPM366_EMBI366",1996-04-01,840,"",NA
"483","JPM366_EMBI366",1996-04-02,842,"",NA
"484","JPM366_EMBI366",1996-04-03,849,"",NA
"485","JPM366_EMBI366",1996-04-04,850,"",NA
"486","JPM366_EMBI366",1996-04-08,889,"",NA
"487","JPM366_EMBI366",1996-04-09,866,"",NA
